Used,Location,,Possible
https://github.com/Starwort/SPLIWACA ,Basically Everywhere,,https://www.researchgate.net/publication/303348270_On_source-to-source_compilers
https://en.wikipedia.org/wiki/Compiler,,,https://www.youtube.com/channel/UCUVahoidFA7F3Asfvamrm7w
,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.735.4640&rep=rep1&type=pdf
,,,https://www.youtube.com/watch?v=QXjU9qTsYCc&safe=active
,,,http://hjemmesider.diku.dk/~torbenm/Basics/basics_lulu2.pdf
,,,https://en.wikipedia.org/wiki/Flex_(lexical_analyser_generator)
,,,https://github.com/westes/flex/blob/master/doc/flex.texi
,,,https://en.wikipedia.org/wiki/Semantic_analysis_(linguistics)
,,,https://www.regular-expressions.info/
,,,https://en.wikipedia.org/wiki/Regular_expression
,,,https://www.tutorialspoint.com/compiler_design/compiler_design_architecture.htm
